modelo,mae_cv,mae,rmse,r2,tiempo_s,pred_test_s,notas
baseline_media,2.0688963715297097,2.2804982182217524,3.0009075455611454,-0.0107136006720001,0.05,0.01,DummyRegressor(mean) sobre el train filtrado; predictor constante
baseline_mediana,2.0280709715956657,2.292915397464872,3.295224494759906,-0.218689005901733,0.05,0.01,DummyRegressor(median) sobre el train filtrado
regresion_lineal,1.7081269914428885,1.8616423486468183,2.466618112134765,0.3171478029300377,0.11,0.03,OLS sobre las 17 features del preprocesador comun
knn,1.677463604977745,1.8341394922857723,2.473058280278219,0.3135773888747734,0.13,8.15,"k=80, weights=distance, p=1; grilla 32 configs x CV5; busqueda 3.7 min; escalado dentro del pipeline"
svr_lineal,1.6794570030507772,1.8342626900383583,2.516802585200808,0.2890792645041837,0.27,0.02,"LinearSVR C=0.01, eps=0.5; train completo; grilla 18 configs x CV5 (extendida a C>=1e-4 por regla D7); busqueda 7.5 min"
svr_rbf,1.628251974494632,1.7686584251672428,2.442488021735593,0.3304426776499758,123.31,94.09,"SVR-RBF ['C=8.598', 'epsilon=0.4397', 'gamma=0.00936']; BUSQUEDA: TPE 40 trials en submuestra 16k del train; refit en train completo (2.1 min); mae_cv por KFold-5 sobre train completo (0.0 min)"
arbol_podado,1.7362474112149175,1.858482300802049,2.4828956448692194,0.3081056053637367,5.9,0.02,"ccp_alpha=9.62e-04 por CV5 sobre 25 candidatos; 326 hojas, prof. 15"
random_forest,1.6529722176987476,1.7979753637148943,2.399378011157664,0.3538695211973283,10.37,0.38,"RF {'n_estimators': 500, 'max_features': 0.37091014845513426, 'min_samples_leaf': 5, 'max_depth': 19}; TPE 30 trials con CV5 sobre train completo; OOB MAE 1.6550"
xgboost,1.607311083890282,1.7476947076330955,2.417507937088639,0.3440681853215638,13.04,0.18,"XGB objective=reg:absoluteerror, {'learning_rate': 0.010457065772553623, 'max_depth': 8, 'subsample': 0.6634274931179873, 'colsample_bytree': 0.5502318092380184, 'reg_alpha': 0.3818481521279466, 'reg_lambda': 3.328611400908887}, n_estimators=813; BUSQUEDA: TPE 40 trials con holdout interno 10% (espacio extendido por D7); mae_cv por KFold-5 sobre train completo (0.0 min)"
baseline_mediana_sin_filtrar,2.042878353162608,2.2596049916478336,3.0110993129450576,-0.0175904870511796,0.0,0.0,Constante = mediana del train SIN filtro IQR (4.0 dias); piso honesto: iguala el optimo entre constantes sin mirar el test
